Website ID,Total_Nodes,Total_Edges
1,13125,54240
2,798,15416
3,840,17827
4,2982,85408
5,1113,20625
6,861,18295
7,2373,21892
8,860,7773
9,7245,160545
10,23688,416667
11,546,1626
12,2520,18015
13,1386,43891
14,2037,6114
15,609,2324
16,3171,117234
17,819,11727
18,20937,307991
19,1827,22071
20,1533,9806
21,12453,228795
22,2079,1980
23,2835,26069
24,14616,15331
25,7728,64069
26,567,4683
27,2541,64722
28,1500,52321
29,3885,15643
30,4053,119075
31,1092,3464
32,3339,53636
33,4872,259512
34,950,7704
35,735,786
36,1155,10993
37,3800,82185
38,2184,29937
39,735,7096
40,1007,15503
41,6741,171981
42,903,33756
43,546,7644
44,1617,17043
45,462,2285
46,3339,49759
47,5166,1784
48,2730,46667
49,3129,26562
50,2436,27205
51,2226,11164
52,1890,29404
53,3297,18929
54,1302,9498
55,1617,10658
56,2772,24564
57,2100,24639
58,1365,10162
59,1617,21333
60,4104,62197
61,1805,21530
62,1824,21994
63,3686,71302
64,4066,65261
65,1102,5825
66,2185,29948
67,3401,36884
68,4256,59347
69,779,4372
70,1482,32099
71,6517,62187
72,1957,13287
73,1944,10560
74,450,2722
75,9747,125946
