Website ID,Industry
4,Education
16,Bussiness
59,Healthcare
71,Healthcare
72,Healthcare
77,Bussiness
90,Healthcare
99,Bussiness
101,Bussiness
106,Bussiness
133,Education
135,Government
139,Bussiness
147,Government
148,Bussiness
158,Bussiness
160,Bussiness
161,Bussiness
176,Government
183,Government
186,Bussiness
192,Government
193,Bussiness
197,Healthcare
224,Healthcare
226,Bussiness
244,Healthcare
246,Bussiness
253,Education
264,Bussiness
266,Bussiness
270,Healthcare
275,Healthcare
276,Healthcare
280,Healthcare
294,Bussiness
300,Healthcare
316,Healthcare
320,Bussiness
343,Bussiness
362,Government
369,Education
370,Bussiness
371,Healthcare
398,Bussiness
410,Bussiness
411,Government
425,Government
426,Government
427,Government
429,Government
434,Government
435,Government
437,Government
438,Government
439,Government
440,Government
443,Government
445,Government
451,Government
452,Government
453,Government
454,Government
455,Government
456,Government
461,Government
472,Government
483,Government
486,Government
488,Government
497,Government
498,Government
506,Education
507,Government
508,Bussiness
